descricao,endereco,metragem,quartos,banheiro,vagas,valor,condominio
"Apartamento com 4 Quartos à Venda, 146m²","SQSW 300 Bloco B, 506 - Setor Sudoeste, Brasília - DF",146,4,5,2,2.250.000,1.200
"Apartamento com 3 Quartos à Venda, 86m²","SQSW 105 Bloco F - Setor Sudoeste, Brasília - DF",86,3,3,1,1.150.000,860
"Apartamento com 3 Quartos à Venda, 90m²","SQSW 100 Bloco D, 1 - Setor Sudoeste, Brasília - DF",90,3,3,1,1.255.000,820
"Apartamento com 3 Quartos à Venda, 102m²","SQSW 304 Bloco D, 304 - Setor Sudoeste, Brasília - DF",102,3,3,1,1.200.000,711
"Apartamento com 3 Quartos à Venda, 89m²","SQSW 100 Bloco F, 603 - Setor Sudoeste, Brasília - DF",89,3,1,1,1.100.000,800.000
"Apartamento com 2 Quartos à Venda, 68m²","CCSW 3, 3 - Setor Sudoeste, Brasília - DF",68,2,2,1,935.000,733
"Apartamento com 3 Quartos à Venda, 87m²","SQSW 301 Bloco E, 1 - Setor Sudoeste, Brasília - DF",87,3,3,1,1.190.000,980
"Apartamento com  Quarto à Venda, 26m²","CCSW 1, 4 - Setor Sudoeste, Brasília - DF",26,1,1,1,510.000,410
"Apartamento com 3 Quartos à Venda, 95m²","SQSW 305 Bloco F, 01 - Setor Sudoeste, Brasília - DF",95,3,3,1,1.220.000,923
"Apartamento com 2 Quartos à Venda, 65m²","SQSW 104 Bloco G, 104 - Setor Sudoeste, Brasília - DF",65,2,2,1,1.049.000,530
"Apartamento com 3 Quartos à Venda, 145m²","SQSW 306 Bloco F, 01 - Setor Sudoeste, Brasília - DF",145,3,3,2,1.900.000,1.290
"Apartamento com 2 Quartos à Venda, 82m²","CCSW 4 Lote 5 Bloco B, 306 - Setor Sudoeste, Brasília - DF",82,2,1,2,1.050.000,733
"Apartamento com 2 Quartos à Venda, 68m²","CCSW 3 - Setor Sudoeste, Brasília - DF",68,2,2,1,950.000,730
"Apartamento com 3 Quartos à Venda, 100m²","SQSW 306 Bloco B, 0 - Setor Sudoeste, Brasília - DF",100,3,3,1,1.550.000,780
"Apartamento com 3 Quartos à Venda, 87m²","SQSW 105 Bloco F, 01 - Setor Sudoeste, Brasília - DF",87,3,3,1,1.150.000,952
"Apartamento com 5 Quartos à Venda, 256m²","SQSW 102 Bloco B, 2 - Setor Sudoeste, Brasília - DF",256,5,3,2,3.000.000,2.500
"Apartamento com 4 Quartos à Venda, 180m²","SQSW 300 Bloco L - Setor Sudoeste, Brasília - DF",180,4,4,2,2.550.000,1.430
"Apartamento com  Quarto à Venda, 27m²","Setor Sudoeste, Brasília - DF",27,1,1,1,425.000,400
"Apartamento com 4 Quartos à Venda, 378m²","SQSW 101 - Setor Sudoeste, Brasília - DF",378,4,3,4,3.200.000,3.400
"Apartamento com  Quarto à Venda, 36m²","QMSW 6, 010 - Setor Sudoeste, Brasília - DF",36,1,1,1,360.000,420
"Apartamento com 5 Quartos à Venda, 312m²","SQSW 302 - Setor Sudoeste, Brasília - DF",312,5,7,4,2.970.000,872
"Apartamento com 4 Quartos à Venda, 146m²","SQSW 300 Bloco B, 506 - Setor Sudoeste, Brasília - DF",146,4,5,2,2.250.000,1.200
"Apartamento com 3 Quartos à Venda, 86m²","SQSW 105 Bloco F - Setor Sudoeste, Brasília - DF",86,3,3,1,1.150.000,860
"Apartamento com 3 Quartos à Venda, 90m²","SQSW 100 Bloco D, 1 - Setor Sudoeste, Brasília - DF",90,3,3,1,1.255.000,820
"Apartamento com 3 Quartos à Venda, 102m²","SQSW 304 Bloco D, 304 - Setor Sudoeste, Brasília - DF",102,3,3,1,1.200.000,711
"Apartamento com 3 Quartos à Venda, 89m²","SQSW 100 Bloco F, 603 - Setor Sudoeste, Brasília - DF",89,3,1,1,1.100.000,800.000
"Apartamento com 2 Quartos à Venda, 68m²","CCSW 3, 3 - Setor Sudoeste, Brasília - DF",68,2,2,1,935.000,733
"Apartamento com 3 Quartos à Venda, 87m²","SQSW 301 Bloco E, 1 - Setor Sudoeste, Brasília - DF",87,3,3,1,1.190.000,980
"Apartamento com  Quarto à Venda, 26m²","CCSW 1, 4 - Setor Sudoeste, Brasília - DF",26,1,1,1,510.000,410
"Apartamento com 3 Quartos à Venda, 95m²","SQSW 305 Bloco F, 01 - Setor Sudoeste, Brasília - DF",95,3,3,1,1.220.000,923
"Apartamento com 2 Quartos à Venda, 65m²","SQSW 104 Bloco G, 104 - Setor Sudoeste, Brasília - DF",65,2,2,1,1.049.000,530
"Apartamento com 3 Quartos à Venda, 145m²","SQSW 306 Bloco F, 01 - Setor Sudoeste, Brasília - DF",145,3,3,2,1.900.000,1.290
"Apartamento com 2 Quartos à Venda, 82m²","CCSW 4 Lote 5 Bloco B, 306 - Setor Sudoeste, Brasília - DF",82,2,1,2,1.050.000,733
"Apartamento com 2 Quartos à Venda, 68m²","CCSW 3 - Setor Sudoeste, Brasília - DF",68,2,2,1,950.000,730
"Apartamento com 3 Quartos à Venda, 100m²","SQSW 306 Bloco B, 0 - Setor Sudoeste, Brasília - DF",100,3,3,1,1.550.000,780
"Apartamento com 3 Quartos à Venda, 87m²","SQSW 105 Bloco F, 01 - Setor Sudoeste, Brasília - DF",87,3,3,1,1.150.000,952
"Apartamento com 5 Quartos à Venda, 256m²","SQSW 102 Bloco B, 2 - Setor Sudoeste, Brasília - DF",256,5,3,2,3.000.000,2.500
"Apartamento com 4 Quartos à Venda, 180m²","SQSW 300 Bloco L - Setor Sudoeste, Brasília - DF",180,4,4,2,2.550.000,1.430
"Apartamento com  Quarto à Venda, 27m²","Setor Sudoeste, Brasília - DF",27,1,1,1,425.000,400
"Apartamento com 4 Quartos à Venda, 378m²","SQSW 101 - Setor Sudoeste, Brasília - DF",378,4,3,4,3.200.000,3.400
"Apartamento com  Quarto à Venda, 36m²","QMSW 6, 010 - Setor Sudoeste, Brasília - DF",36,1,1,1,360.000,420
"Apartamento com 5 Quartos à Venda, 312m²","SQSW 302 - Setor Sudoeste, Brasília - DF",312,5,7,4,2.970.000,872
"Apartamento com 4 Quartos à Venda, 146m²","SQSW 300 Bloco B, 506 - Setor Sudoeste, Brasília - DF",146,4,5,2,2.250.000,1.200
"Apartamento com 3 Quartos à Venda, 86m²","SQSW 105 Bloco F - Setor Sudoeste, Brasília - DF",86,3,3,1,1.150.000,860
"Apartamento com 3 Quartos à Venda, 90m²","SQSW 100 Bloco D, 1 - Setor Sudoeste, Brasília - DF",90,3,3,1,1.255.000,820
"Apartamento com 3 Quartos à Venda, 102m²","SQSW 304 Bloco D, 304 - Setor Sudoeste, Brasília - DF",102,3,3,1,1.200.000,711
"Apartamento com 3 Quartos à Venda, 89m²","SQSW 100 Bloco F, 603 - Setor Sudoeste, Brasília - DF",89,3,1,1,1.100.000,800.000
"Apartamento com 2 Quartos à Venda, 68m²","CCSW 3, 3 - Setor Sudoeste, Brasília - DF",68,2,2,1,935.000,733
"Apartamento com 3 Quartos à Venda, 87m²","SQSW 301 Bloco E, 1 - Setor Sudoeste, Brasília - DF",87,3,3,1,1.190.000,980
"Apartamento com  Quarto à Venda, 26m²","CCSW 1, 4 - Setor Sudoeste, Brasília - DF",26,1,1,1,510.000,410
"Apartamento com 3 Quartos à Venda, 95m²","SQSW 305 Bloco F, 01 - Setor Sudoeste, Brasília - DF",95,3,3,1,1.220.000,923
"Apartamento com 2 Quartos à Venda, 65m²","SQSW 104 Bloco G, 104 - Setor Sudoeste, Brasília - DF",65,2,2,1,1.049.000,530
"Apartamento com 3 Quartos à Venda, 145m²","SQSW 306 Bloco F, 01 - Setor Sudoeste, Brasília - DF",145,3,3,2,1.900.000,1.290
"Apartamento com 2 Quartos à Venda, 82m²","CCSW 4 Lote 5 Bloco B, 306 - Setor Sudoeste, Brasília - DF",82,2,1,2,1.050.000,733
"Apartamento com 2 Quartos à Venda, 68m²","CCSW 3 - Setor Sudoeste, Brasília - DF",68,2,2,1,950.000,730
"Apartamento com 3 Quartos à Venda, 100m²","SQSW 306 Bloco B, 0 - Setor Sudoeste, Brasília - DF",100,3,3,1,1.550.000,780
"Apartamento com 3 Quartos à Venda, 87m²","SQSW 105 Bloco F, 01 - Setor Sudoeste, Brasília - DF",87,3,3,1,1.150.000,952
"Apartamento com 5 Quartos à Venda, 256m²","SQSW 102 Bloco B, 2 - Setor Sudoeste, Brasília - DF",256,5,3,2,3.000.000,2.500
"Apartamento com 4 Quartos à Venda, 180m²","SQSW 300 Bloco L - Setor Sudoeste, Brasília - DF",180,4,4,2,2.550.000,1.430
"Apartamento com  Quarto à Venda, 27m²","Setor Sudoeste, Brasília - DF",27,1,1,1,425.000,400
"Apartamento com 4 Quartos à Venda, 378m²","SQSW 101 - Setor Sudoeste, Brasília - DF",378,4,3,4,3.200.000,3.400
"Apartamento com  Quarto à Venda, 36m²","QMSW 6, 010 - Setor Sudoeste, Brasília - DF",36,1,1,1,360.000,420
"Apartamento com 5 Quartos à Venda, 312m²","SQSW 302 - Setor Sudoeste, Brasília - DF",312,5,7,4,2.970.000,872
